Special Purpose Gadget Introduction Data
Package Variant,Syscall Gadgets,Syscall Gadget Introduction Rate,JOP Dispatcher Gadgets,JOP Dispatcher Gadget Introduction Rate,JOP Dataloader Gadgets,JOP Dataloader Gadget Introduction Rate,JOP Initializer Gadgets,JOP Initializer Gadget Introduction Rate,JOP Trampoline Gadgets,JOP Trampoline Gadget Introduction Rate,COP Dispatcher Gadgets,COP Dispatcher Gadget Introduction Rate,COP Dataloader Gadgets,COP Dataloader Gadget Introduction Rate,COP Initializer Gadgets,COP Initializer Gadget Introduction Rate,COP Strong Trampoline Gadgets,COP Strong Trampoline Gadget Introduction Rate,COP Intra-stack Pivot Gadgets,COP Intra-stack Pivot Gadget Introduction Rate
O0-fipa-profile,21,61.9%,55,87.3%,50,84.0%,0,0.0%,4,75.0%,113,30.1%,65,58.5%,0,0.0%,0,0.0%,16,18.8%
O0-fipa-pure-const,22,86.4%,45,95.6%,51,98.0%,0,0.0%,5,100.0%,95,96.8%,67,92.5%,0,0.0%,0,0.0%,19,73.7%
O0-fipa-reference,21,61.9%,55,87.3%,50,84.0%,0,0.0%,4,75.0%,113,30.1%,65,58.5%,0,0.0%,0,0.0%,16,18.8%
O0-fmove-loop-invariants,22,68.2%,41,87.8%,57,93.0%,0,0.0%,7,85.7%,107,29.9%,62,58.1%,0,0.0%,0,0.0%,17,29.4%
O0-fomit-frame-pointer,6,50.0%,39,100.0%,47,97.9%,0,0.0%,5,100.0%,90,100.0%,56,100.0%,0,0.0%,0,0.0%,20,100.0%
O0-freorder-blocks,15,53.3%,48,87.5%,53,84.9%,0,0.0%,7,85.7%,103,27.2%,70,62.9%,0,0.0%,0,0.0%,18,27.8%
O0-fshrink-wrap,19,84.2%,56,94.6%,53,98.1%,0,0.0%,4,100.0%,120,96.7%,79,91.1%,0,0.0%,0,0.0%,16,56.2%
O0-fsplit-wide-types,15,53.3%,48,87.5%,53,84.9%,0,0.0%,7,85.7%,103,27.2%,70,62.9%,0,0.0%,0,0.0%,18,27.8%
O0-fssa-phiopt,21,61.9%,55,87.3%,50,84.0%,0,0.0%,4,75.0%,113,30.1%,65,58.5%,0,0.0%,0,0.0%,16,18.8%
O0-ftree-bit-ccp,21,61.9%,55,87.3%,50,84.0%,0,0.0%,4,75.0%,113,30.1%,65,58.5%,0,0.0%,0,0.0%,16,18.8%
O0-ftree-builtin-call-dce,22,68.2%,41,87.8%,57,93.0%,0,0.0%,7,85.7%,107,29.9%,62,58.1%,0,0.0%,0,0.0%,17,29.4%
O0-ftree-ccp,21,61.9%,55,87.3%,50,84.0%,0,0.0%,4,75.0%,113,30.1%,65,58.5%,0,0.0%,0,0.0%,16,18.8%
O0-ftree-ch,24,66.7%,60,86.7%,57,84.2%,0,0.0%,4,75.0%,119,33.6%,73,60.3%,0,0.0%,0,0.0%,17,5.9%
O0-ftree-coalesce-vars,22,68.2%,47,95.7%,44,97.7%,0,0.0%,8,100.0%,99,96.0%,72,90.3%,0,0.0%,0,0.0%,20,70.0%
O0-ftree-copy-prop,15,53.3%,48,87.5%,53,84.9%,0,0.0%,7,85.7%,103,27.2%,70,62.9%,0,0.0%,0,0.0%,18,27.8%
O0-ftree-dce,21,61.9%,55,87.3%,50,84.0%,0,0.0%,4,75.0%,113,30.1%,65,58.5%,0,0.0%,0,0.0%,16,18.8%
O0-ftree-dominator-opts,15,53.3%,48,87.5%,53,84.9%,0,0.0%,7,85.7%,103,27.2%,70,62.9%,0,0.0%,0,0.0%,18,27.8%
O0-ftree-dse,21,61.9%,55,87.3%,50,84.0%,0,0.0%,4,75.0%,113,30.1%,65,58.5%,0,0.0%,0,0.0%,16,18.8%
O0-ftree-fre,21,61.9%,55,87.3%,50,84.0%,0,0.0%,4,75.0%,113,30.1%,65,58.5%,0,0.0%,0,0.0%,16,18.8%
O0-ftree-pta,21,61.9%,55,87.3%,50,84.0%,0,0.0%,4,75.0%,113,30.1%,65,58.5%,0,0.0%,0,0.0%,16,18.8%
O0-ftree-sink,21,61.9%,55,87.3%,50,84.0%,0,0.0%,4,75.0%,113,30.1%,65,58.5%,0,0.0%,0,0.0%,16,18.8%
O0-ftree-slsr,21,61.9%,55,87.3%,50,84.0%,0,0.0%,4,75.0%,113,30.1%,65,58.5%,0,0.0%,0,0.0%,16,18.8%
O0-ftree-sra,21,61.9%,55,87.3%,50,84.0%,0,0.0%,4,75.0%,113,30.1%,65,58.5%,0,0.0%,0,0.0%,16,18.8%
O0-ftree-ter,23,78.3%,54,96.3%,58,98.3%,0,0.0%,8,100.0%,120,97.5%,70,97.1%,0,0.0%,0,0.0%,21,90.5%
