Package Variant,Quality ROP Gadgets,Average ROP Gadget Quality,Quality JOP Gadgets,Average JOP Gadget Quality,Quality COP Gadgets,Average COP Gadget Quality
O0-ftree-bit-ccp,11077 (70),1.865757876681412 (0.0019643804281241906),3262 (84),2.1448497854077253 (-0.0229131446426325),4443 (201),1.7847175331982894 (-0.006078428977789763)
O0-ftree-builtin-call-dce,11133 (14),1.8724512709961376 (-0.0047290138866014075),3320 (26),2.1753012048192772 (-0.05336456405418444),4622 (22),1.7920813500649069 (-0.01344224584440723)
O0-ftree-ccp,11077 (70),1.865757876681412 (0.0019643804281241906),3262 (84),2.1448497854077253 (-0.0229131446426325),4441 (203),1.7846205809502365 (-0.005981476729736812)
O0-ftree-ch,11127 (20),1.8656870674934842 (0.00203518961605198),3320 (26),2.146234939759036 (-0.024298298993943312),4498 (146),1.7427745664739884 (0.035864537746511216)
O0-ftree-coalesce-vars,11114 (33),1.8707036170595646 (-0.0029813599500283505),3412 (-66),2.0791324736225087 (0.04280416714258406),4483 (161),1.7105732768235558 (0.06806582739694389)
O0-ftree-copy-prop,11105 (42),1.8687077892841062 (-0.0009855321745699808),3430 (-84),2.0479591836734694 (0.0739774570916234),4472 (172),1.7293157423971377 (0.049323361823361944)
O0-ftree-dce,11077 (70),1.865757876681412 (0.0019643804281241906),3262 (84),2.1448497854077253 (-0.0229131446426325),4441 (203),1.7846205809502365 (-0.005981476729736812)
O0-ftree-dominator-opts,11104 (43),1.869236311239193 (-0.0015140541296567722),3432 (-86),2.0442890442890445 (0.07764759647604835),4469 (175),1.7291340344596107 (0.049505069760888976)
O0-ftree-dse,11077 (70),1.865757876681412 (0.0019643804281241906),3262 (84),2.1448497854077253 (-0.0229131446426325),4441 (203),1.7846205809502365 (-0.005981476729736812)
O0-ftree-fre,11077 (70),1.865757876681412 (0.0019643804281241906),3262 (84),2.1448497854077253 (-0.0229131446426325),4441 (203),1.7846205809502365 (-0.005981476729736812)
O0-ftree-pta,11077 (70),1.865757876681412 (0.0019643804281241906),3262 (84),2.1448497854077253 (-0.0229131446426325),4441 (203),1.7846205809502365 (-0.005981476729736812)
O0-ftree-sink,11081 (66),1.8661673134193666 (0.001554943690169619),3262 (84),2.1448497854077253 (-0.0229131446426325),4441 (203),1.7846205809502365 (-0.005981476729736812)
O0-ftree-slsr,11077 (70),1.865757876681412 (0.0019643804281241906),3262 (84),2.1448497854077253 (-0.0229131446426325),4441 (203),1.7846205809502365 (-0.005981476729736812)
O0-ftree-sra,11077 (70),1.865757876681412 (0.0019643804281241906),3262 (84),2.1448497854077253 (-0.0229131446426325),4441 (203),1.7846205809502365 (-0.005981476729736812)
O0-ftree-ter,11348 (-201),1.855789566443426 (0.011932690666110135),3447 (-101),2.0564258775747026 (0.06551076319039018),4402 (242),1.7151294865970013 (0.06350961762349838)
